기간	IE	firefox	chrome	safari	opera	gecko	netscape
2012년 4월	48.28	19.73	19.39	10.51	0.44	0.27	0
2012년 3월	49.18	19.46	18.10	11.14	0.38	0.29	0
2012년 2월	50.98	19.00	17.05	11.16	0.33	0.22	0
2012년 1월	51.81	18.98	16.77	10.93	0.38	0.15	0
2011년 12월	51.42	19.73	16.78	10.69	0.39	0.16	0
2011년 11월	51.17	20.15	16.13	11.29	0.38	0.16	0
2011년 10월	52.59	20.06	15.01	11.13	0.36	0.17	0
2011년 9월	53.79	20.18	13.79	10.81	0.37	0.21	0
2011년 8월	53.81	20.50	13.62	10.75	0.39	0.15	0
2011년 7월	55.26	20.29	12.58	10.68	0.37	0.13	0
2011년 6월	56.23	20.85	12.04	9.77	0.46	0	0
2011년 5월	57.48	20.43	11.06	9.88	0.49	0	0
2011년 4월	57.08	21.40	10.85	9.47	0.53	0	0
2011년 3월	60.27	19.57	9.60	9.62	0.42	0	0
2011년 2월	60.92	19.21	9.13	9.59	0.40	0.42	0
2011년 1월	61.28	19.57	8.80	9.40	0.39	0.31	0
2010년 12월	60.98	20.14	8.61	9.33	0.40	0.24	0
2010년 11월	62.13	19.69	7.46	9.42	0.37	0.18	0
2010년 10월	62.54	19.76	7.17	9.03	0.36	0.15	0
2010년 9월	62.68	20.51	6.99	8.83	0.36	0.15	0
2010년 8월	62.66	20.94	6.83	8.83	0.35	0.14	0
2010년 7월	61.73	21.66	6.95	8.94	0.36	0.11	0
2010년 6월	63.37	21.26	6.24	8.52	0.33	0	0
2010년 5월	64.17	21.12	5.59	8.31	0.37	0	0
2010년 4월	64.55	21.35	5.23	8.12	0.40	0	0
2010년 3월	66.34	19.90	4.39	8.59	0.31	0	0
2010년 2월	66.99	19.48	3.98	9.00	0.24	0.06	0
2010년 1월	66.33	20.31	3.87	8.94	0.26	0.06	0
2009년 12월	66.12	20.82	3.51	8.73	0.30	0.07	0
2009년 11월	67.74	20.15	2.88	8.56	0.28	0.10	0
2009년 10월	68.38	20.32	2.56	8.09	0.27	0.14	0
2009년 9월	67.25	21.12	2.41	8.46	0.28	0.21	0
2009년 8월	68.37	21.32	2.21	7.29	0.28	0.23	0
2009년 7월	69.29	21.06	2.05	6.77	0.30	0.24	0
2009년 6월	71.44	19.48	1.93	6.30	0.33	0.22	0
2009년 5월	71.35	20.26	1.64	5.95	0.31	0.21	0
2009년 4월	71.38	20.46	1.43	5.80	0.31	0.19	0
2009년 3월	72.03	20.00	1.19	5.91	0.30	0	0.10
2009년 2월	74.04	18.64	0.97	5.57	0.27	0	0.10
2009년 1월	73.05	19.39	0.96	5.72	0.29	0	0.12
2008년 12월	70.89	20.87	0.95	6.32	0.33	0	0.13
2008년 11월	72.07	19.78	0.68	6.57	0.29	0	0.13
2008년 10월	73.45	18.88	0.57	6.22	0.26	0	0.16
2008년 9월	74.53	18.14	0.52	5.98	0.22	0	0.17
